API,constrinf,constrinf_2,neuri,symbolic,constrinf.1,constrinf_2.1,neuri.1,symbolic.1
tf.raw_ops.MaxPool3DGrad.models,13526.0,13621.0,18997.0,12402.0,613.0,603.0,1246.0,1785.0
tf.raw_ops.MaxPool3DGradGrad.models,13085.0,13700.0,14785.0,12398.0,632.0,1057.0,1316.0,1728.0
tf.raw_ops.MaxPoolGrad.models,13441.0,13720.0,18746.0,12925.0,839.0,1312.0,1638.0,2058.0
tf.raw_ops.MaxPoolGradGrad.models,13304.0,13601.0,14764.0,12398.0,565.0,530.0,1122.0,1604.0
tf.raw_ops.MaxPoolV2.models,13699.0,13718.0,12940.0,12398.0,853.0,1434.0,1866.0,2284.0
tf.raw_ops.Maximum.models,14410.0,12147.0,13798.0,10999.0,849.0,921.0,3161.0,3289.0
tf.raw_ops.Mean.models,13697.0,13710.0,15522.0,12398.0,920.0,1000.0,2228.0,2536.0
tf.raw_ops.Min.models,14058.0,10220.0,13189.0,10998.0,844.0,1787.0,3349.0,3717.0
tf.raw_ops.Minimum.models,14476.0,13139.0,13674.0,10998.0,524.0,203.0,2625.0,2798.0
tf.raw_ops.MirrorPad.models,13626.0,13532.0,13536.0,12398.0,718.0,625.0,1382.0,1630.0
tf.raw_ops.Mul.models,13947.0,12579.0,14698.0,11011.0,505.0,81.0,2601.0,2689.0
tf.raw_ops.MulNoNan.models,14848.0,,14259.0,10999.0,855.0,,3378.0,3794.0
tf.raw_ops.Multinomial.models,16761.0,,15080.0,11012.0,929.0,,75.0,3365.0
tf.raw_ops.Ndtri.models,13451.0,11772.0,13157.0,10997.0,1108.0,1502.0,2721.0,3418.0
tf.raw_ops.Neg.models,11973.0,9626.0,11025.0,10999.0,1530.0,1880.0,3107.0,3640.0
tf.raw_ops.NextAfter.models,15106.0,11050.0,14828.0,10999.0,174.0,4.0,2671.0,3240.0
tf.raw_ops.NonMaxSuppressionV3.models,13159.0,13679.0,12409.0,12397.0,967.0,1579.0,21.0,2533.0
tf.raw_ops.NotEqual.models,14689.0,12341.0,14301.0,12398.0,764.0,1331.0,400.0,2688.0
tf.raw_ops.OneHot.models,13687.0,0.0,14142.0,12398.0,953.0,0.0,2408.0,2719.0
tf.raw_ops.Pack.models,13733.0,13705.0,14579.0,12929.0,1542.0,1554.0,2283.0,2524.0
tf.raw_ops.Pad.models,13615.0,13718.0,14076.0,12407.0,1166.0,1613.0,2219.0,2551.0
tf.raw_ops.PadV2.models,13082.0,13621.0,13803.0,12397.0,819.0,1338.0,56.0,2148.0
tf.raw_ops.PlaceholderWithDefault.models,13632.0,13708.0,12813.0,12397.0,1602.0,1705.0,2812.0,2830.0
tf.raw_ops.Polygamma.models,15767.0,,15278.0,10999.0,45.0,,1820.0,2454.0
tf.raw_ops.PopulationCount.models,13462.0,11790.0,12419.0,12410.0,1071.0,1758.0,2689.0,3100.0
tf.raw_ops.Pow.models,14937.0,,14393.0,12398.0,763.0,,3404.0,3672.0
tf.raw_ops.Prod.models,13302.0,,14653.0,12400.0,376.0,,2542.0,3075.0
tf.raw_ops.Qr.models,21641.0,19798.0,19694.0,12399.0,691.0,758.0,2562.0,3531.0
tf.raw_ops.QuantizeAndDequantizeV4.models,13527.0,13704.0,15010.0,12398.0,762.0,1063.0,1434.0,1817.0
tf.raw_ops.RGBToHSV.models,14972.0,,14606.0,12413.0,1187.0,,3007.0,3762.0
tf.raw_ops.RandomGammaGrad.models,18437.0,18021.0,18359.0,12398.0,714.0,27.0,341.0,2604.0
tf.raw_ops.Real.models,13639.0,13683.0,12780.0,12399.0,1053.0,1161.0,22.0,1784.0
tf.raw_ops.RealDiv.models,15313.0,13694.0,14790.0,12398.0,1024.0,1647.0,2431.0,2640.0
tf.raw_ops.Reciprocal.models,14368.0,14071.0,13583.0,12927.0,1717.0,1355.0,2908.0,3252.0
tf.raw_ops.ReciprocalGrad.models,13922.0,12244.0,13266.0,12400.0,639.0,786.0,2685.0,2909.0
tf.raw_ops.Relu.models,13948.0,13920.0,13281.0,12397.0,1233.0,1265.0,2613.0,3088.0
tf.raw_ops.Relu6.models,13920.0,13891.0,12983.0,12398.0,1415.0,1432.0,2915.0,3277.0
tf.raw_ops.Relu6Grad.models,14356.0,12617.0,14098.0,12398.0,1388.0,1421.0,3296.0,3633.0
tf.raw_ops.ReluGrad.models,14141.0,14688.0,14184.0,12397.0,826.0,532.0,1666.0,2091.0
tf.raw_ops.Reshape.models,13518.0,,12768.0,12399.0,951.0,,24.0,3605.0
