API,neuri,neuri_cnt
torch.nn.functional.threshold,37028,1676
torch.nn.functional.triplet_margin_loss,38000,884
torch.nonzero,37694,657
torch.ones_like,37752,930
torch.outer,37663,1022
torch.pairwise_distance,38047,958
torch.pdist,36916,1101
torch.permute,37871,2652
torch.pinverse,37813,1829
torch.pixel_shuffle,36829,2012
torch.pixel_unshuffle,37669,1721
torch.positive,37590,1731
torch.pow,38166,2151
torch.prod,37731,1092
torch.qr,36912,2633
torch.quantile,38059,1206
torch.rad2deg,37455,1005
torch.ravel,37647,993
torch.real,37723,2796
torch.reciprocal,36953,998
torch.relu,36936,1793
torch.relu_,37608,1163
torch.remainder,37986,1019
torch.renorm,37753,1032
torch.repeat_interleave,37916,1230
torch.resolve_conj,37578,920
torch.resolve_neg,37585,934
torch.roll,37840,1177
torch.rot90,37807,1073
torch.round,37639,1554
torch.rsqrt,36931,956
torch.rsub,38157,940
torch.select,37763,795
torch.select_scatter,37955,859
torch.sgn,37607,18335
torch.sigmoid,36914,1022
torch.sigmoid_,37597,847
torch.sign,37565,17044
torch.signbit,37600,11426
torch.sin,36920,960
torch.sinc,37590,944
torch.sinh,36937,845
torch.softmax,37687,978
torch.sort,37771,927
torch.split_copy,37744,808
torch.split_with_sizes,37873,895
torch.sqrt,36925,1858
torch.square,37614,591
torch.squeeze,37713,5215
torch.stack,38181,4813
torch.std,37842,857
torch.std_mean,37836,941
torch.sub,37772,1393
torch.subtract,37590,2346
torch.sum,37917,3991
torch.svd,37803,1119
torch.swapaxes,37792,2270
torch.swapdims,37797,2635
torch.t,37722,940
torch.take,37897,952
torch.tan,36934,779
torch.tanh,36923,1347
torch.tanh_,37599,858
torch.threshold,36986,913
torch.threshold_,37671,811
torch.tile,37789,524
torch.transpose,37796,3118
torch.trapezoid,38149,960
torch.trapz,38053,854
torch.tril,37659,1251
torch.triplet_margin_loss,36913,891
torch.triu,37658,1148
torch.true_divide,37635,1744
torch.trunc,36927,1353
torch.unflatten,36846,506
torch.unfold_copy,37702,1385
torch.unsqueeze,37052,1428
torch.var,37849,1138
torch.var_mean,37828,928
torch.view_as_complex,37650,1345
torch.view_as_real,37659,1303
torch.view_copy,36907,1158
torch.vsplit,36859,1015
torch.where,37607,757
torch.xlogy,38076,937
torch.zero_,37603,882
torch.zeros_like,37686,4141
