API,constrinf,constrinf_2,neuri,symbolic,constrinf.1,constrinf_2.1,neuri.1,symbolic.1
torch.heaviside.models,38147.0,38017.0,38058.0,36860.0,1338.0,641.0,97.0,14241.0
torch.Tensor.lgamma_.models,37920.0,37498.0,37626.0,36870.0,79.0,85.0,73.0,175.0
torch.Tensor.log.models,38027.0,36898.0,36968.0,36869.0,114.0,141.0,107.0,381.0
torch.hinge_embedding_loss.models,38281.0,,38101.0,36839.0,677.0,,43.0,10238.0
torch.histc.models,38292.0,37575.0,37833.0,36864.0,2480.0,5700.0,243.0,20991.0
torch.Tensor.log10.models,37998.0,36910.0,36967.0,36868.0,108.0,101.0,58.0,260.0
torch.histogram.models,38453.0,,37930.0,36835.0,965.0,,140.0,23024.0
torch.Tensor.log10_.models,38008.0,37499.0,37642.0,36862.0,107.0,99.0,57.0,251.0
torch.Tensor.log1p.models,37966.0,36884.0,36961.0,36859.0,62.0,59.0,31.0,149.0
torch.histogramdd.models,37890.0,,38300.0,36846.0,4.0,,60.0,5405.0
torch.hsplit.models,38324.0,37829.0,36949.0,36860.0,2307.0,2819.0,101.0,20467.0
torch.Tensor.log1p_.models,37935.0,37481.0,37635.0,36867.0,76.0,86.0,68.0,186.0
torch.hypot.models,38238.0,38035.0,38010.0,36864.0,975.0,601.0,100.0,15452.0
torch.Tensor.log2.models,37920.0,36863.0,36956.0,36876.0,97.0,110.0,64.0,393.0
torch.i0.models,38067.0,37830.0,37622.0,36862.0,1460.0,1081.0,132.0,20497.0
torch.Tensor.log2_.models,37941.0,37494.0,37632.0,36856.0,103.0,90.0,61.0,240.0
torch.Tensor.log_.models,37924.0,37477.0,37624.0,36867.0,81.0,90.0,42.0,184.0
torch.igamma.models,38254.0,38052.0,38040.0,36858.0,860.0,576.0,112.0,15835.0
torch.igammac.models,38187.0,38038.0,38027.0,36859.0,747.0,314.0,74.0,19690.0
torch.Tensor.log_softmax.models,38062.0,37653.0,37721.0,36872.0,209.0,1255.0,65.0,402.0
torch.Tensor.logical_and.models,38074.0,37974.0,37959.0,36863.0,128.0,835.0,46.0,244.0
torch.isfinite.models,38045.0,37544.0,37703.0,36848.0,1481.0,1991.0,7559.0,11492.0
